,0,1,2,3,4,5,6,7
0,0.775,0.975,0.200,0.955,0.995,0.040,0.995,1.000
1,0.775,0.975,0.200,0.955,0.995,0.040,0.995,1.000
2,0.775,0.975,0.200,0.955,0.995,0.040,0.995,1.000
3,0.625,1.000,0.375,0.905,1.000,0.095,1.000,1.000
4,0.625,1.000,0.375,0.905,1.000,0.095,1.000,1.000
5,0.625,1.000,0.375,0.905,1.000,0.095,1.000,1.000
6,0.450,0.925,0.475,0.855,0.985,0.130,0.982,1.000
7,0.450,0.925,0.475,0.855,0.985,0.130,0.982,1.000
8,0.450,0.925,0.475,0.855,0.985,0.130,0.982,1.000
9,0.400,0.700,0.300,0.805,0.940,0.135,0.950,0.897
10,0.400,0.700,0.300,0.805,0.940,0.135,0.950,0.897
11,0.400,0.700,0.300,0.805,0.940,0.135,0.950,0.897
