,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.426,0.499,0.467,0.401,0.855,0.855,0.855,0.855,,,,,,,,
1,0.875,1.000,0.992,0.827,0.965,1.000,0.998,0.950,1.000,1.000,0.998,0.954,0.759,1.000,1.000,0.932
2,0.700,0.912,0.941,0.926,0.925,0.975,0.986,0.985,0.936,0.979,0.988,0.983,0.863,0.949,0.976,1.000
3,0.651,0.662,0.758,0.775,0.920,0.922,0.950,0.945,0.971,0.974,0.992,0.994,0.622,0.619,0.701,0.656
4,0.376,0.462,0.425,0.450,0.855,0.855,0.855,0.855,,,,,,,,
5,0.823,0.938,0.927,0.973,0.960,0.988,0.985,0.990,0.994,0.988,0.994,0.988,0.759,0.983,0.933,0.999
6,0.626,0.812,0.829,0.925,0.905,0.957,0.937,0.955,0.929,0.956,0.943,0.948,0.762,0.965,0.899,1.000
7,0.525,0.675,0.701,0.800,0.875,0.922,0.921,0.960,0.936,0.973,0.971,0.988,0.517,0.621,0.623,0.792
8,0.500,0.512,0.525,0.459,0.855,0.855,0.855,0.855,,,,,,,,
9,0.675,0.815,0.948,0.912,0.908,0.958,0.990,0.977,0.974,0.957,0.991,0.979,0.517,0.965,0.982,0.959
10,0.500,0.528,0.863,0.847,0.830,0.875,0.957,0.958,0.842,0.855,0.953,0.961,0.761,0.997,0.982,0.937
11,0.464,0.614,0.764,0.799,0.835,0.869,0.935,0.949,0.880,0.905,0.971,0.988,0.571,0.657,0.726,0.719
